Time,bits/s,MBytes/s
1571626893.7893107,13010793908.264484,1626.3492385330605
1571626893.890201,11356862004.947744,1419.6077506184681
1571626893.9918244,12825719803.011696,1603.2149753764618
1571626894.0922608,12972593399.231508,1621.5741749039385
1571626894.1944964,14234888849.518866,1779.3611061898582
1571626894.2952268,13739536274.700687,1717.442034337586
1571626894.400945,13304122185.136192,1663.015273142024
1571626894.5016038,2575307941.1763124,321.91349264703905
1571626894.60236,2518834966.8024287,314.8543708503036
1571626894.7030902,2544858572.831872,318.10732160398396
1571626894.803796,2512284020.6285458,314.03550257856824
1571626894.904527,2510683752.97493,313.83546912186625
1571626895.0052578,2472298072.37749,309.03725904718624
