Time,bits/s,MBytes/s
1572203471.272098,159223753.5012313,19.902969187653923
1572203471.3728359,1048549614.6736124,131.0687018342015
1572203471.6976213,66209735.578849405,8.276216947356176
1572203471.7983525,1197989327.7407794,149.74866596759742
1572203471.8990893,915100282.677295,114.38753533466186
1572203471.9994988,915103561.7575812,114.38794521969764
1572203472.1002293,914625797.9392843,114.32822474241054
1572203472.2009597,914892887.0691088,114.36161088363859
1572203472.3012273,915388295.156444,114.42353689455551
1572203472.4017472,841830321.5892943,105.2287901986618
1572203472.50248,914580563.0437961,114.32257038047449
1572203472.6032155,913983191.3348039,114.24789891685049
1572203472.703972,915062802.8806232,114.38285036007791
1572203472.804732,914226672.136672,114.27833401708399
1572203472.9055195,914585958.649742,114.32324483121776
1572203473.0062838,915462971.6946679,114.4328714618335
1572203473.1070356,913887113.4089539,114.23588917611927
1572203473.2077944,915427000.0400932,114.42837500501169
1572203473.3085744,914322749.0823891,114.29034363529864
1572203473.408587,871392320.2814894,108.92404003518615
1572203473.5093381,889792302.1262953,111.22403776578692
1572203473.6096013,914253946.4999453,114.28174331249315
1572203473.7103658,914785942.4040962,114.34824280051205
1572203473.8111706,914294029.0311114,114.28675362888892
1572203473.9119346,914815439.0781263,114.35192988476581
1572203474.0122356,915602449.6519828,114.45030620649788
1572203474.1125133,877461368.7508582,109.6826710938573
1572203474.213244,917308495.9650457,114.66356199563072
1572203474.3140619,915021705.6515877,114.37771320644846
1572203474.4147925,914601475.018715,114.32518437733937
1572203474.5155447,915194998.8497652,114.39937485622065
1572203474.6162753,911186983.2614731,113.89837290768412
1572203474.7170408,913864590.9638867,114.23307387048582
1572203474.8177767,913929823.9397137,114.2412279924642
1572203474.9185214,914618354.482536,114.327294310317
1572203475.019289,916236534.2251793,114.52956677814741
1572203475.1200535,890690395.9926274,111.33629949907841
1572203475.2203345,915319151.9260881,114.41489399076102
1572203475.320606,913622090.4633863,114.20276130792331
1572203475.4213374,914889011.5802764,114.36112644753456
1572203475.522098,915407448.4310992,114.42593105388741
1572203475.6223533,915049447.7674203,114.38118097092753
1572203475.72264,914084078.1745226,114.26050977181534
1572203475.8233795,915313766.3195404,114.41422078994252
1572203475.9266095,976880740.3183182,122.11009253978978
1572203476.0293396,957015428.898016,119.62692861225199
1572203476.1300757,928103885.1821502,116.01298564776877
1572203476.2318144,926893944.1405569,115.86174301756964
1572203476.332623,913091241.4635321,114.1364051829415
1572203476.4333847,906069545.5706542,113.25869319633176
1572203476.5341208,922604858.2921963,115.32560728652452
1572203476.6348796,914868045.4350595,114.35850567938243
1572203476.7356105,902230742.7117101,112.77884283896377
1572203476.8363461,905304714.21328,113.16308927665999
1572203476.9366405,915003374.5989169,114.37542182486462
1572203477.037376,914923176.3246062,114.36539704057577
1572203477.1381106,915794024.2205398,114.47425302756746
1572203477.2393827,923174812.40095,115.39685155011873
1572203477.3396256,912614479.0031972,114.07680987539965
1572203477.440356,908125353.2928342,113.51566916160428
1572203477.5411193,919696484.3085427,114.96206053856783
1572203477.641874,914256559.6615207,114.28206995769006
1572203477.7426412,911978749.9160697,113.99734373950872
1572203477.843372,907224024.1811671,113.40300302264588
1572203477.9441075,917219566.2710795,114.65244578388493
1572203478.0448728,916250306.7315173,114.53128834143969
1572203478.1466007,913017137.7490357,114.12714221862947
1572203478.2473712,915101291.1985757,114.38766139982198
1572203478.3481016,915377281.3533552,114.42216016916942
1572203478.448838,729586464.8075068,91.19830810093835
1572203478.5495794,919218079.6962992,114.90225996203739
1572203478.6498568,925624211.9813381,115.70302649766725
1572203478.7501671,904445766.0677146,113.05572075846432
1572203478.8504212,910392149.1393037,113.79901864241296
1572203478.951158,914893470.6955051,114.36168383693814
1572203479.0518882,910437381.4952912,113.80467268691139
1572203479.1526234,912265602.03793,114.03320025474125
1572203479.2533646,898579391.9396679,112.32242399245848
1572203479.3540945,913047812.266073,114.13097653325912
1572203479.4548302,912122571.6644287,114.01532145805359
1572203479.5556207,912608290.3096848,114.07603628871063
1572203479.6563506,915479753.3215933,114.43496916519915
1572203479.7571025,911099255.7878196,113.88740697347744
1572203479.8578331,919155639.6696007,114.8944549587001
1572203479.9585993,428797590.27925164,53.59969878490645
1572203479.9725618,909134486.040822,113.64181075510274
1572203480.073298,888114990.3637407,111.01437379546758
1572203480.2603939,800017725.6950954,100.00221571188692
1572203480.361171,918551752.3986477,114.81896904983095
1572203480.4619384,1011404908.699447,126.42561358743083
1572203480.562709,1052053142.6865809,131.50664283582262
1572203480.6634686,914429659.6161549,114.30370745201937
1572203480.7641993,912352135.1324131,114.04401689155164
1572203480.8649359,913938309.0125475,114.24228862656844
1572203480.9656866,911605193.4348981,113.95064917936227
1572203481.066433,913991696.4986615,114.24896206233268
1572203481.1671689,915627369.6492741,114.45342120615925
1572203481.2679145,909463221.6403656,113.6829027050457
1572203481.3682194,911746394.1961737,113.96829927452171
1572203481.4685602,914544291.5138458,114.31803643923074
1572203481.5693016,912823554.769275,114.10294434615936
1572203481.670037,912058174.1514035,114.00727176892548
1572203481.7702873,912435696.3719505,114.05446204649382
1572203481.8705401,913680700.5217934,114.21008756522417
1572203481.9712706,548206382.5770179,68.52579782212723
1572203481.9722712,906973303.2437599,113.37166290546999
1572203482.073013,367622348.4156453,45.95279355195567
1572203482.1727464,915707753.5145708,114.46346918932137
1572203482.2735307,913222548.3630941,114.15281854538676
1572203482.3742664,910563388.4339769,113.8204235542471
1572203482.474997,916964087.6894151,114.6205109611769
1572203482.5757275,910868487.8586109,113.85856098232637
1572203482.6764688,915133881.7348039,114.39173521685049
1572203482.7772346,907175621.5466369,113.39695269332961
1572203482.877965,913506701.2300109,114.18833765375135
1572203482.9783533,915960550.5367372,114.49506881709215
1572203483.0786235,912484629.3596599,114.0605786699575
1572203483.1793542,911624885.8321285,113.95311072901609
1572203483.2800848,910870257.442668,113.85878218033349
1572203483.3803694,913492958.5020735,114.18661981275918
1572203483.48374,352141953.43390137,44.01774417923768
1572203483.58449,598610854.0764691,74.82635675955859
1572203483.6852922,838926989.0426519,104.86587363033148
1572203483.7760928,986767717.7699528,123.34596472124409
1572203483.8778744,1194516600.0078297,149.31457500097872
1572203483.9786048,921815567.5119771,115.22694593899715
1572203484.0793836,905688940.3330984,113.2111175416373
1572203484.180114,917645333.6180183,114.70566670225229
1572203484.2808447,918492723.3181552,114.8115904147694
1572203484.381607,918993533.0721731,114.87419163402166
1572203484.4833465,899435967.0847394,112.42949588559244
